sk_ocupacao;cd_ocupacao;ds_ocupacao;dt_carga
171;142355;analista de e-commerce;2025-09-30 00:47:30
172;142405;gerente de compras;2025-09-30 00:47:30
173;142410;gerente de suprimentos;2025-09-30 00:47:30
174;142415;gerente de almoxarifado;2025-09-30 00:47:30
175;142505;gerente de infraestrutura de tecnologia da informação;2025-09-30 00:47:30
176;142510;gerente de desenvolvimento de sistemas;2025-09-30 00:47:30
177;142515;gerente de operação de tecnologia da informação;2025-09-30 00:47:30
178;142520;gerente de projetos de tecnologia da informação;2025-09-30 00:47:30
179;142525;gerente de segurança da informação;2025-09-30 00:47:30
180;142530;gerente de suporte técnico de tecnologia da informação;2025-09-30 00:47:30
181;142535;tecnólogo em gestão da tecnologia da informação;2025-09-30 00:47:30
182;142605;gerente de pesquisa e desenvolvimento (p&d);2025-09-30 00:47:30
183;142610;especialista em desenvolvimento de cigarros;2025-09-30 00:47:30
184;142705;gerente de projetos e serviços de manutenção;2025-09-30 00:47:30
185;142710;tecnólogo em sistemas biomédicos;2025-09-30 00:47:30
186;201105;bioengenheiro;2025-09-30 00:47:30
187;201110;biotecnologista;2025-09-30 00:47:30
188;201115;geneticista;2025-09-30 00:47:30
189;201205;pesquisador em metrologia;2025-09-30 00:47:30
190;201210;especialista em calibrações metrológicas;2025-09-30 00:47:30
191;201215;especialista em ensaios metrológicos;2025-09-30 00:47:30
192;201220;especialista em instrumentação metrológica;2025-09-30 00:47:30
193;201225;especialista em materiais de referência metrológica;2025-09-30 00:47:30
194;202105;engenheiro mecatrônico;2025-09-30 00:47:30
195;202110;engenheiro de controle e automação;2025-09-30 00:47:30
196;202115;tecnólogo em mecatrônica;2025-09-30 00:47:30
197;202120;tecnólogo em automação industrial;2025-09-30 00:47:30
198;203005;pesquisador em biologia ambiental;2025-09-30 00:47:30
199;203010;pesquisador em biologia animal;2025-09-30 00:47:30
200;203015;pesquisador em biologia de microorganismos e parasitas;2025-09-30 00:47:30
201;203020;pesquisador em biologia humana;2025-09-30 00:47:30
202;203025;pesquisador em biologia vegetal;2025-09-30 00:47:30
203;203105;pesquisador em ciências da computação e informática;2025-09-30 00:47:30
204;203110;pesquisador em ciências da terra e meio ambiente;2025-09-30 00:47:30
205;203115;pesquisador em física;2025-09-30 00:47:30
206;203120;pesquisador em matemática;2025-09-30 00:47:30
207;203125;pesquisador em química;2025-09-30 00:47:30
208;203205;pesquisador de engenharia civil;2025-09-30 00:47:30
209;203210;pesquisador de engenharia e tecnologia (outras áreas da engenharia);2025-09-30 00:47:30
210;203215;pesquisador de engenharia elétrica e eletrônica;2025-09-30 00:47:30
211;203220;pesquisador de engenharia mecânica;2025-09-30 00:47:30
212;203225;pesquisador de engenharia metalúrgica, de minas e de materiais;2025-09-30 00:47:30
213;203230;pesquisador de engenharia química;2025-09-30 00:47:30
214;203305;pesquisador de clínica médica;2025-09-30 00:47:30
215;203310;pesquisador de medicina básica;2025-09-30 00:47:30
216;203315;pesquisador em medicina veterinária;2025-09-30 00:47:30
217;203320;pesquisador em saúde coletiva;2025-09-30 00:47:30
218;203405;pesquisador em ciências agronômicas;2025-09-30 00:47:30
219;203410;pesquisador em ciências da pesca e aqüicultura;2025-09-30 00:47:30
220;203415;pesquisador em ciências da zootecnia;2025-09-30 00:47:30
221;203420;pesquisador em ciências florestais;2025-09-30 00:47:30
222;203505;pesquisador em ciências sociais e humanas;2025-09-30 00:47:30
223;203510;pesquisador em economia;2025-09-30 00:47:30
224;203515;pesquisador em ciências da educação;2025-09-30 00:47:30
225;203520;pesquisador em história;2025-09-30 00:47:30
226;203525;pesquisador em psicologia;2025-09-30 00:47:30
227;204105;perito criminal;2025-09-30 00:47:30
228;204110;perito judicial;2025-09-30 00:47:30
229;211105;atuário;2025-09-30 00:47:30
230;211110;especialista em pesquisa operacional;2025-09-30 00:47:30
231;211115;matemático;2025-09-30 00:47:30
232;211120;matemático aplicado;2025-09-30 00:47:30
233;211205;estatístico;2025-09-30 00:47:30
234;211210;estatístico (estatística aplicada);2025-09-30 00:47:30
235;211215;estatístico teórico;2025-09-30 00:47:30
236;211220;cientista de dados;2025-09-30 00:47:30
237;212205;engenheiro de aplicativos em computação;2025-09-30 00:47:30
238;212210;engenheiro de equipamentos em computação;2025-09-30 00:47:30
239;212215;engenheiros de sistemas operacionais em computação;2025-09-30 00:47:30
240;212305;administrador de banco de dados;2025-09-30 00:47:30
241;212310;administrador de redes;2025-09-30 00:47:30
242;212315;administrador de sistemas operacionais;2025-09-30 00:47:30
243;212320;administrador em segurança da informação;2025-09-30 00:47:30
244;212405;analista de desenvolvimento de sistemas;2025-09-30 00:47:30
245;212410;analista de redes e de comunicação de dados;2025-09-30 00:47:30
246;212415;analista de sistemas de automação;2025-09-30 00:47:30
247;212420;analista de suporte computacional;2025-09-30 00:47:30
248;212425;arquiteto de soluções de tecnologia da informação;2025-09-30 00:47:30
249;212430;analista de testes de tecnologia da informação;2025-09-30 00:47:30
250;213105;físico;2025-09-30 00:47:30
251;213110;físico (acústica);2025-09-30 00:47:30
252;213115;físico (atômica e molecular);2025-09-30 00:47:30
253;213120;físico (cosmologia);2025-09-30 00:47:30
254;213125;físico (estatística e matemática);2025-09-30 00:47:30
255;213130;físico (fluidos);2025-09-30 00:47:30
256;213135;físico (instrumentação);2025-09-30 00:47:30
257;213140;físico (matéria condensada);2025-09-30 00:47:30
258;213145;físico (materiais);2025-09-30 00:47:30
259;213150;físico (medicina);2025-09-30 00:47:30
260;213155;físico (nuclear e reatores);2025-09-30 00:47:30
261;213160;físico (óptica);2025-09-30 00:47:30
262;213165;físico (partículas e campos);2025-09-30 00:47:30
263;213170;físico (plasma);2025-09-30 00:47:30
264;213175;físico (térmica);2025-09-30 00:47:30
265;213205;químico;2025-09-30 00:47:30
266;213210;químico industrial;2025-09-30 00:47:30
267;213215;tecnólogo em processos químicos;2025-09-30 00:47:30
268;213305;astrônomo;2025-09-30 00:47:30
269;213310;geofísico espacial;2025-09-30 00:47:30
270;213315;meteorologista;2025-09-30 00:47:30
271;213405;geólogo;2025-09-30 00:47:30
272;213410;geólogo de engenharia;2025-09-30 00:47:30
273;213415;geofísico;2025-09-30 00:47:30
274;213420;geoquímico;2025-09-30 00:47:30
275;213425;hidrogeólogo;2025-09-30 00:47:30
276;213430;paleontólogo;2025-09-30 00:47:30
277;213435;petrógrafo;2025-09-30 00:47:30
278;213440;oceanógrafo;2025-09-30 00:47:30
279;214005;engenheiro ambiental;2025-09-30 00:47:30
280;214010;tecnólogo em meio ambiente;2025-09-30 00:47:30
281;214105;arquiteto de edificações;2025-09-30 00:47:30
282;214110;arquiteto de interiores;2025-09-30 00:47:30
283;214115;arquiteto de patrimônio;2025-09-30 00:47:30
284;214120;arquiteto paisagista;2025-09-30 00:47:30
285;214125;arquiteto urbanista;2025-09-30 00:47:30
286;214130;urbanista;2025-09-30 00:47:30
287;214205;engenheiro civil;2025-09-30 00:47:30
288;214210;engenheiro civil (aeroportos);2025-09-30 00:47:30
289;214215;engenheiro civil (edificações);2025-09-30 00:47:30
290;214220;engenheiro civil (estruturas metálicas);2025-09-30 00:47:30
291;214225;engenheiro civil (ferrovias e metrovias);2025-09-30 00:47:30
292;214230;engenheiro civil (geotécnia);2025-09-30 00:47:30
293;214235;engenheiro civil (hidrologia);2025-09-30 00:47:30
294;214240;engenheiro civil (hidráulica);2025-09-30 00:47:30
295;214245;engenheiro civil (pontes e viadutos);2025-09-30 00:47:30
